,project_name,num_commits,project_age_days,num_issues,num_pull,num_stargazers,num_watchers,num_forks,num_subscribers,num_contributors,project_size(kB),ssf_score,ssf0_Binary-Artifacts,ssf1_Branch-Protection,ssf3_CII-Best-Practices,ssf7_Dependency-Update-Tool,ssf8_Fuzzing,ssf9_License,ssf10_Maintained,ssf13_SAST,ssf17_Vulnerabilities,Generic policy,Reporting mechanism,Scope of practice,User guideline
187,theupdateframework/tuf,0.03660221397051537,0.7235336194563662,0.019564497314112073,0.019916029712563246,0.008740798805925274,0.008740798805925274,0.0036608837265642877,0.006064601186552406,0.1649269311064718,0.0030410024633616686,8.4,10,8,0,10,0,10,10,10,10,0,1,0,0
188,apragacz/django-rest-registration,0.003899805884101733,0.5339771101573676,0.0022106369802842862,0.001980837549790074,0.002910020241284704,0.002910020241284704,0.001130567033203677,0.002241265655899802,0.04592901878914405,0.000565798500403707,5.9,10,3,0,10,0,10,10,10,0,1,1,1,0
189,fortra/impacket,0.023439640448390236,0.5797567954220314,0.013155810302864467,0.009322854989772849,0.07237467315962695,0.07237467315962695,0.04800872151711329,0.04930784442979565,0.3903966597077244,0.0014288056898276173,4.8,10,3,0,0,0,9,10,0,9,0,0,0,0
190,dwisiswant0/apkleaks,0.0009093717756649782,0.2451716738197425,0.000662471016893011,0.00031219722252126173,0.026410312854021144,0.026410312854021144,0.00658151522900712,0.01041529334212261,0.018789144050104383,1.5954201900918483e-05,4.7,10,0,0,0,0,10,2,7,10,1,1,0,1
191,gallopsled/pwntools,0.02575387503133252,0.707796852646638,0.017836312052652046,0.015297663903541822,0.06482580146360059,0.06482580146360059,0.023001655473155764,0.03796967699406724,0.4926931106471816,0.004672278488653519,4.6,0,2,0,10,0,9,10,0,0,1,1,1,0
192,codingjoe/django-s3file,0.0019469882889237354,0.6076537911301859,0.0022034362083615364,0.0029066637958876087,0.00042415424181087015,0.00042415424181087015,0.00021534610156260516,0.0013183915622940012,0.02713987473903966,0.00011332417638899831,6.3,10,0,0,10,0,10,9,10,9,1,1,0,1
193,nltk/nltk,0.08546928829999942,0.9456366237482117,0.02379135043276639,0.01607277424911185,0.07282567260661572,0.07282567260661572,0.03885651220070257,0.06104152933421226,0.7724425887265135,0.058110302088701084,5.2,10,0,0,0,0,10,10,0,10,1,1,0,0
194,nuitka/nuitka,0.07574600546788927,0.7088698140200286,0.020644613102524592,0.004618365809021423,0.06414930229311742,0.06414930229311742,0.008640762325199532,0.018193803559657218,0.3465553235908142,0.009541764070907052,5.4,10,0,0,0,0,10,10,0,7,1,1,1,0
195,pylons/waitress,0.005928404460585146,0.7970314735336195,0.0031971427337010526,0.0022069114005813326,0.007742157173307275,0.007742157173307275,0.002220756672364366,0.005009887936717205,0.10229645093945719,0.00028931382622387233,5.8,10,3,0,10,0,9,10,0,10,1,0,0,0
196,mozilla/bleach,0.005281351466361988,0.9163090128755365,0.005292567363221337,0.003843255463451394,0.014233327785324263,0.014233327785324263,0.0033917010996110312,0.005932762030323006,0.1356993736951983,0.00020016766714863707,6.8,10,8,0,10,10,9,10,0,10,1,1,1,0
197,pyeve/eve,0.01972637236442491,0.7415951359084406,0.011053184901421433,0.0060501668640327265,0.03602626534874606,0.03602626534874606,0.01001359372266114,0.02953197099538563,0.34446764091858034,0.0031822876121543387,4.1,10,0,0,0,0,9,6,0,10,1,1,0,0
198,jupyter/notebook,0.07901624627653063,0.580829756795422,0.053321716087964634,0.026558294757239746,0.06285536340354249,0.06285536340354249,0.06651502712014967,0.04284772577455504,0.778705636743215,0.006650764000675668,5.0,10,3,0,10,0,10,10,0,0,1,0,0,0
199,tomato42/tlslite-ng,0.010043894676094598,0.6384120171673819,0.0038020075752120625,0.0038324900419851433,0.0012402484792191266,0.0012402484792191266,0.0010767305078130257,0.002768622280817403,0.07515657620041753,0.0007095507938202303,5.8,10,8,0,0,0,9,10,0,9,0,1,1,1
200,yaml/pyyaml,0.0017837677138043803,0.8048998569384835,0.005969439923959849,0.003046614274948864,0.013728637927979683,0.013728637927979683,0.0069718300380893425,0.0071193144363876065,0.07515657620041753,0.0001347060964623942,5.5,10,1,0,0,10,10,10,0,10,1,1,0,0
201,lxml/lxml,0.03723760835223,0.8522889842632332,0.0027506948744905452,0.004112391000107654,0.01445882750881865,0.01445882750881865,0.007658245736820146,0.01081081081081081,0.31941544885177453,0.003429166550847933,6.8,10,3,0,10,10,9,10,0,10,0,1,0,0
202,python/typed_ast,0.0010842509632928586,0.5248569384835479,0.0014041505249362733,0.0011626655183550436,0.0012241413561123848,0.0012241413561123848,0.0007267930927737924,0.0026367831245880024,0.050104384133611686,0.0002842150606679087,4.4,10,3,0,0,0,9,0,0,10,1,1,0,0
203,pylons/colander,0.00619655254828123,0.8513948497854077,0.0026282817518037934,0.0024437506728388412,0.002410699424975705,0.002410699424975705,0.0019515740454111093,0.0036914963744232037,0.17954070981210854,0.0003699072172697492,4.9,10,0,0,10,0,9,1,0,10,1,0,0,0
204,fief-dev/fief,0.007199193224014411,0.1407367668097282,0.0014833590160865245,0.0012918505759500485,0.003012032020960736,0.003012032020960736,0.0006729565673831412,0.0006591957811470006,0.02713987473903966,0.0007181035618495887,5.7,10,0,0,10,0,9,10,9,10,1,1,1,0
205,gerapy/gerapy,0.0035675354276087606,0.4354434907010014,0.002253841611820787,0.0010657767251587898,0.017959442264017224,0.017959442264017224,0.008654221456547194,0.016479894528675015,0.018789144050104383,0.006307337469035278,5.2,10,0,0,10,0,10,0,9,0,1,1,1,0
206,jupyter/jupyter_core,0.003625828490151387,0.5835121602288984,0.0028875095410227977,0.0029389600602863597,0.0010523320429738044,0.0010523320429738044,0.002436102773926971,0.005273566249176005,0.11273486430062629,0.00010296216896881414,5.1,10,3,0,10,0,10,0,7,10,0,1,0,0
207,miurahr/py7zr,0.0105277270951984,0.3238555078683834,0.004190849259040569,0.0040477984713101515,0.002459020794295931,0.002459020794295931,0.0009690574570317232,0.0017139090309822016,0.09603340292275574,0.0052634063405287874,6.7,8,3,0,10,0,10,10,9,10,0,0,0,0
208,encode/httpx,0.008528275049986302,0.32045779685264664,0.017915520543802296,0.017472279039724405,0.07093040112105577,0.07093040112105577,0.011278752069341445,0.015161502966381014,0.44467640918580376,0.001353475540645961,7.4,10,8,0,10,10,10,10,0,10,0,1,0,0
