project_name,project_url,num_commits,project_age_days,project_created_at,num_contributors,num_pull,num_issues,num_stargazers,num_watchers,num_forks,num_subscribers,Aggregate-Score,Binary-Artifacts,Branch-Protection,CI-Tests,CII-Best-Practices,Code-Review,Contributors,Dangerous-Workflow,Dependency-Update-Tool,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities,num_bug_high,num_bug_medium,num_bug_low,num_bug_blocker,num_vulnerabilities_high,num_vulnerabilities_medium,num_vulnerabilities_low,num_vulnerabilities_blocker,num_code_smell_high,num_code_smell_medium,num_code_smell_low,num_code_smell_blocker
buildbot/buildbot,https://github.com/buildbot/buildbot,26401,5229,2010-07-06,326,6376,8067,5252,5252,1625,200,6.3,10,3,10,0,10,10,10,10,0,10,10,-1,0,0,0,8,10,0,0,6,0,1,0,0,0,0,189,148,368,1
byvoid/opencc,https://github.com/byvoid/opencc,1410,5220,2010-07-15,93,371,912,8461,8461,982,208,3.6,10,0,8,0,1,10,10,0,0,10,8,-1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
carglglz/upydev,https://github.com/carglglz/upydev,581,1920,2019-07-28,3,16,37,57,57,9,9,2.7,10,0,0,0,5,0,-1,0,0,10,0,-1,-1,0,0,0,-1,10,20,29,14,5,119,0,0,0,535,759,2521,8
carltongibson/django-filter,https://github.com/carltongibson/django-filter,1330,5752,2009-01-30,195,759,1588,4451,4451,769,68,5.6,10,0,9,0,6,10,10,10,0,9,10,-1,0,0,0,-1,0,10,2,7,2,0,0,0,0,0,97,37,71,12
ccrisan/motioneye,https://github.com/ccrisan/motioneye,2036,3348,2015-08-30,130,472,3058,3966,3966,650,173,5.8,10,6,10,0,8,10,0,10,0,10,5,10,0,0,0,-1,10,10,0,0,0,0,1,0,0,0,16,36,7,3
cdent/paste,https://github.com/cdent/paste,1805,2198,2018-10-23,46,70,101,59,59,47,3,3.5,10,0,8,0,4,10,10,0,0,9,0,-1,0,0,0,0,0,10,0,2,0,0,0,0,0,0,24,3,4,0
celery/django-celery-results,https://github.com/celery/django-celery-results,316,3008,2016-08-05,65,217,441,691,691,204,24,5.0,10,3,7,0,6,10,10,0,0,9,6,-1,0,7,0,-1,0,10,0,1,0,0,0,0,0,0,39,16,37,3
ceph/ceph-deploy,https://github.com/ceph/ceph-deploy,2129,4430,2012-09-12,66,517,517,427,427,306,143,3.4,10,1,0,0,6,10,-1,0,0,10,0,-1,0,0,0,-1,-1,10,0,0,0,0,0,0,0,0,0,0,0,0
cgohlke/imagecodecs,https://github.com/cgohlke/imagecodecs,2148,1711,2020-02-22,1,23,117,119,119,23,4,3.4,10,0,-1,0,0,3,-1,0,0,10,10,-1,-1,0,0,0,-1,10,0,0,0,0,0,0,0,0,4,1,1,4
chainer/chainerrl-visualizer,https://github.com/chainer/chainerrl-visualizer,408,2147,2018-12-13,6,37,42,53,53,13,15,2.2,10,0,0,0,4,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,0,16,149,3,7,3,0,0,2,5861,1806,20110,132
cheetahtemplate/cheetah,https://github.com/cheetahtemplate/cheetah,1907,5659,2009-05-02,9,12,12,142,142,43,11,2.4,8,0,0,0,1,0,-1,0,0,9,0,-1,-1,0,0,-1,-1,10,0,0,0,0,0,0,0,0,0,4,4,0
clinical-genomics/cg,https://github.com/clinical-genomics/cg,5679,2808,2017-02-20,47,2749,3862,8,8,2,10,6.5,10,8,10,0,5,10,10,10,0,0,10,10,0,10,0,-1,0,8,0,0,0,0,0,0,0,1,3,3,10,0
clusterlabs/crmsh,https://github.com/clusterlabs/crmsh,5354,3877,2014-03-19,52,1332,1598,131,131,94,30,5.5,10,6,5,0,10,10,10,0,0,10,10,-1,0,0,0,-1,0,10,4,0,0,0,3,0,0,0,8,13,5,1
cmusatyalab/opendiamond,https://github.com/cmusatyalab/opendiamond,2219,4561,2012-05-04,13,19,53,19,19,9,5,2.7,10,0,0,0,0,10,-1,0,0,10,0,-1,0,0,0,-1,-1,10,1,0,0,0,0,0,0,0,1,0,0,0
coala/git-url-parse,https://github.com/coala/git-url-parse,62,2769,2017-03-31,6,28,49,29,29,16,3,2.7,10,0,0,0,1,3,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,0,82,0,0,0,0,0,0,49,82,49,0
cocagne/pysrp,https://github.com/cocagne/pysrp,119,4246,2013-03-15,16,33,59,115,115,42,9,4.2,10,0,0,0,6,3,-1,0,0,10,9,-1,-1,0,0,-1,-1,10,0,1,0,0,0,0,0,0,15,29,10,1
coderedcorp/coderedcms,https://github.com/coderedcorp/coderedcms,373,2284,2018-07-29,29,322,653,691,691,133,31,3.1,10,0,8,0,2,3,-1,0,0,9,0,-1,-1,0,0,-1,-1,10,2,2,1,1,1,0,0,1,271,204,247,245
coleifer/sqlite-web,https://github.com/coleifer/sqlite-web,170,3643,2014-11-08,8,30,166,3391,3391,335,77,2.8,10,0,0,0,1,0,-1,0,0,10,4,-1,0,0,0,-1,-1,10,0,0,0,0,0,0,0,0,0,0,0,0
collective/collective.contact.widget,https://github.com/collective/collective.contact.widget,182,4282,2013-02-07,12,14,16,1,1,4,113,2.5,10,0,0,0,0,10,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,0,0,0,1,0,0,0,0,5,0,7,0
collective/collective.dms.basecontent,https://github.com/collective/collective.dms.basecontent,304,4282,2013-02-07,8,4,4,0,0,1,116,2.3,10,0,0,0,0,10,-1,0,0,0,0,-1,-1,0,0,-1,-1,8,0,0,0,0,0,0,0,0,9,15,32,0
collective/collective.task,https://github.com/collective/collective.task,415,4242,2013-03-19,13,4,7,4,4,3,116,2.3,10,0,0,0,0,10,-1,0,0,0,0,-1,-1,0,0,-1,-1,8,2,0,0,0,0,0,0,0,8,21,49,0
cookiecutter/cookiecutter,https://github.com/cookiecutter/cookiecutter,3084,4125,2013-07-14,279,1189,2055,22544,22544,2001,231,5.8,10,7,10,0,9,10,10,10,0,10,0,10,0,0,0,-1,0,10,0,0,0,0,0,0,0,0,2,2,36,0
corydolphin/flask-cors,https://github.com/corydolphin/flask-cors,371,4111,2013-07-28,41,207,371,888,888,140,10,5.3,10,3,2,0,6,10,10,10,0,10,6,10,0,0,0,-1,0,7,0,0,0,0,0,0,0,0,31,1429,1159,0
crossbario/autobahn-python,https://github.com/crossbario/autobahn-python,3339,4843,2011-07-27,113,749,1640,2482,2482,767,101,4.2,10,3,2,0,4,10,10,0,0,10,0,10,0,0,0,-1,0,10,0,3,1,5,4,0,0,0,86,88,78,2
csaf-tools/cvrf-csaf-converter,https://github.com/csaf-tools/cvrf-csaf-converter,224,1085,2021-11-09,8,47,114,10,10,4,3,4.4,10,6,0,0,5,6,10,0,0,10,0,-1,0,7,0,-1,0,10,6,348,37,11,1,0,0,0,2661,4322,9899,37
